Gemeindename,Gemeindeschlüssel,Stand in der KWP
Welmbüttel,1051125.0,Stand unbekannt
Wennbüttel,1051126.0,Stand unbekannt
Wesselburen,1051127.0,Stand unbekannt
Wesselburener Deichhausen,1051128.0,Stand unbekannt
Wesselburenerkoog,1051129.0,Stand unbekannt
Westerborstel,1051131.0,Stand unbekannt
Westerdeichstrich,1051132.0,Stand unbekannt
Wiemerstedt,1051133.0,Stand unbekannt
Windbergen,1051134.0,Stand unbekannt
Wolmersdorf,1051135.0,Stand unbekannt
Wrohm,1051136.0,Stand unbekannt
Nordermeldorf,1051137.0,Stand unbekannt
Tensbüttel-Röst,1051138.0,Stand unbekannt
Süderdorf,1051139.0,Stand unbekannt
Oesterwurth,1051140.0,Stand unbekannt
Süderheistedt,1051141.0,Stand unbekannt
Albsfelde,1053001.0,Stand unbekannt
Alt-Mölln,1053002.0,Stand unbekannt
Bäk,1053004.0,Stand unbekannt
Bälau,1053005.0,Stand unbekannt
Basedow,1053006.0,Stand unbekannt
Basthorst,1053007.0,Stand unbekannt
Besenthal,1053010.0,Stand unbekannt
Bliestorf,1053011.0,Stand unbekannt
Borstorf,1053013.0,Stand unbekannt
Breitenfelde,1053014.0,Stand unbekannt
Bröthen,1053015.0,Stand unbekannt
Brunsmark,1053016.0,Stand unbekannt
Brunstorf,1053017.0,Stand unbekannt
Buchholz (Kreis Herzogtum Lauenburg),1053018.0,Stand unbekannt
Buchhorst,1053019.0,Stand unbekannt
Dahmker,1053021.0,Stand unbekannt
Dalldorf,1053022.0,Stand unbekannt
Düchelsdorf,1053024.0,Stand unbekannt
Duvensee,1053025.0,Stand unbekannt
Einhaus,1053026.0,Stand unbekannt
Elmenhorst (Kreis Herzogtum Lauenburg),1053027.0,Stand unbekannt
Fitzen,1053029.0,Stand unbekannt
Fredeburg,1053030.0,Stand unbekannt
Fuhlenhagen,1053031.0,Stand unbekannt
Giesensdorf,1053033.0,Stand unbekannt
Göldenitz,1053034.0,Stand unbekannt
Göttin,1053035.0,Stand unbekannt
Grabau (Kreis Herzogtum Lauenburg),1053036.0,Stand unbekannt
Grambek,1053037.0,Stand unbekannt
Grinau,1053038.0,Stand unbekannt
Groß Boden,1053039.0,Stand unbekannt
Groß Disnack,1053040.0,Stand unbekannt
Groß Grönau,1053041.0,Stand unbekannt
Groß Pampau,1053042.0,Stand unbekannt
Groß Sarau,1053043.0,Stand unbekannt
Groß Schenkenberg,1053044.0,Stand unbekannt
Grove,1053045.0,Stand unbekannt
Gudow,1053046.0,Stand unbekannt
Gülzow,1053047.0,Stand unbekannt
Güster,1053048.0,Stand unbekannt
Hamfelde (Kreis Herzogtum Lauenburg),1053049.0,Stand unbekannt
Hamwarde,1053050.0,Stand unbekannt
Harmsdorf (Kreis Herzogtum Lauenburg),1053051.0,Stand unbekannt
Havekost,1053052.0,Stand unbekannt
Hohenhorn,1053053.0,Stand unbekannt
Hollenbek,1053054.0,Stand unbekannt
Hornbek,1053056.0,Stand unbekannt
Horst,1053057.0,Stand unbekannt
Juliusburg,1053058.0,Stand unbekannt
Kankelau,1053059.0,Stand unbekannt
Kasseburg,1053060.0,Stand unbekannt
Kastorf,1053061.0,Stand unbekannt
Kittlitz,1053062.0,Stand unbekannt
Klein Pampau,1053064.0,Stand unbekannt
Klein Zecher,1053066.0,Stand unbekannt
Klempau,1053067.0,Stand unbekannt
Klinkrade,1053068.0,Stand unbekannt
Koberg,1053069.0,Stand unbekannt
Köthel (Kreis Herzogtum Lauenburg),1053070.0,Stand unbekannt
Kollow,1053071.0,Stand unbekannt
Krüzen,1053073.0,Stand unbekannt
Krukow,1053074.0,Stand unbekannt
Krummesse,1053075.0,Stand unbekannt
Kuddewörde,1053076.0,Stand unbekannt
Kühsen,1053077.0,Stand unbekannt
Kulpin,1053078.0,Stand unbekannt
Labenz,1053079.0,Stand unbekannt
Langenlehsten,1053080.0,Stand unbekannt
Lankau,1053081.0,Stand unbekannt
Lanze,1053082.0,Stand unbekannt
Lehmrade,1053084.0,Stand unbekannt
Linau,1053085.0,Stand unbekannt
Lüchow,1053086.0,Stand unbekannt
Lütau,1053087.0,Stand unbekannt
Mechow,1053088.0,Stand unbekannt
Möhnsen,1053089.0,Stand unbekannt
Mühlenrade,1053091.0,Stand unbekannt
Müssen,1053092.0,Stand unbekannt
Mustin,1053093.0,Stand unbekannt
Niendorf bei Berkenthin,1053094.0,Stand unbekannt
Niendorf/Stecknitz,1053095.0,Stand unbekannt
Nusse,1053096.0,Stand unbekannt
Panten,1053097.0,Stand unbekannt
Pogeez,1053098.0,Stand unbekannt
Poggensee,1053099.0,Stand unbekannt
Ratzeburg,1053100.0,Stand unbekannt
Ritzerau,1053101.0,Stand unbekannt
Römnitz,1053102.0,Stand unbekannt
Rondeshagen,1053103.0,Stand unbekannt
Roseburg,1053104.0,Stand unbekannt
Sahms,1053106.0,Stand unbekannt
Salem (Kreis Herzogtum Lauenburg),1053107.0,Stand unbekannt
Sandesneben,1053108.0,Stand unbekannt
Schiphorst,1053109.0,Stand unbekannt
Schmilau,1053110.0,Stand unbekannt
Schnakenbek,1053111.0,Stand unbekannt
Schönberg (Kreis Herzogtum Lauenburg),1053112.0,Stand unbekannt
Schretstaken,1053113.0,Stand unbekannt
Schürensöhlen,1053114.0,Stand unbekannt
Schulendorf,1053115.0,Stand unbekannt
Seedorf (Kreis Herzogtum Lauenburg),1053117.0,Stand unbekannt
Siebenbäumen,1053118.0,Stand unbekannt
Siebeneichen,1053119.0,Stand unbekannt
Sierksrade,1053120.0,Stand unbekannt
Sirksfelde,1053121.0,Stand unbekannt
Steinhorst (Kreis Herzogtum Lauenburg),1053122.0,Stand unbekannt
Sterley,1053123.0,Stand unbekannt
Stubben,1053124.0,Stand unbekannt
Talkau,1053125.0,Stand unbekannt
Tramm,1053126.0,Stand unbekannt
Walksfelde,1053127.0,Stand unbekannt
Wangelau,1053128.0,Stand unbekannt
Wentorf (Amt Sandesneben),1053130.0,Stand unbekannt
Wiershop,1053131.0,Stand unbekannt
Witzeeze,1053132.0,Stand unbekannt
Woltersdorf (Kreis Herzogtum Lauenburg),1053134.0,Stand unbekannt
Worth,1053135.0,Stand unbekannt
Ziethen (Kreis Herzogtum Lauenburg),1053136.0,Stand unbekannt
Ahrenviöl,1054003.0,Stand unbekannt
Ahrenviölfeld,1054004.0,Stand unbekannt
Arlewatt,1054007.0,Stand unbekannt
Behrendorf,1054011.0,Stand unbekannt
Bondelum,1054013.0,Stand unbekannt
Drage (Kreis Nordfriesland),1054023.0,Stand unbekannt
Elisabeth-Sophien-Koog,1054026.0,Stand unbekannt
Fresendelf,1054032.0,Stand unbekannt
Kirchspiel Garding,1054035.0,Stand unbekannt
Grothusenkoog,1054040.0,Stand unbekannt
Haselund,1054041.0,Stand unbekannt
Hattstedt,1054042.0,Stand unbekannt
Hattstedtermarsch,1054043.0,Stand unbekannt
Horstedt (Kreis Nordfriesland),1054052.0,Stand unbekannt
Hude,1054054.0,Stand unbekannt
Immenstedt (Kreis Nordfriesland),1054057.0,Stand unbekannt
Katharinenheerd,1054063.0,Stand unbekannt
Kotzenbüll,1054072.0,Stand unbekannt
Löwenstedt,1054079.0,Stand unbekannt
Mildstedt,1054084.0,Stand unbekannt
Norderfriedrichskoog,1054090.0,Stand unbekannt
Nordstrand,1054091.0,Stand unbekannt
Norstedt,1054092.0,Stand unbekannt
Oldenswort,1054095.0,Stand unbekannt
Oldersbek,1054096.0,Stand unbekannt
Olderup,1054097.0,Stand unbekannt
Ostenfeld (Husum),1054099.0,Stand unbekannt
Osterhever,1054100.0,Stand unbekannt
Oster-Ohrstedt,1054101.0,Stand unbekannt
Poppenbüll,1054104.0,Stand unbekannt
Ramstedt,1054105.0,Stand unbekannt
Rantrum,1054106.0,Stand unbekannt
Reußenköge,1054108.0,Stand unbekannt
Sankt Peter-Ording,1054113.0,Stand unbekannt
Schwabstedt,1054116.0,Stand unbekannt
Schwesing,1054118.0,Stand unbekannt
Seeth,1054119.0,Stand unbekannt
Simonsberg,1054120.0,Stand unbekannt
Sollwitt,1054123.0,Stand unbekannt
Süderhöft,1054130.0,Stand unbekannt
Südermarsch,1054132.0,Stand unbekannt
Tating,1054134.0,Stand unbekannt
Tetenbüll,1054135.0,Stand unbekannt
Tümlauer Koog,1054140.0,Stand unbekannt
Uelvesbüll,1054141.0,Stand unbekannt
Viöl,1054144.0,Stand unbekannt
Vollerwiek,1054145.0,Stand unbekannt
Welt,1054148.0,Stand unbekannt
Westerhever,1054150.0,Stand unbekannt
Wester-Ohrstedt,1054152.0,Stand unbekannt
Winnert,1054156.0,Stand unbekannt
Wisch (Kreis Nordfriesland),1054157.0,Stand unbekannt
Wittbek,1054159.0,Stand unbekannt
Witzwort,1054161.0,Stand unbekannt
Wobbenbüll,1054162.0,Stand unbekannt
Ahrensbök,1055001.0,Stand unbekannt
Altenkrempe,1055002.0,Stand unbekannt
Beschendorf,1055006.0,Stand unbekannt
Bosau,1055007.0,Stand unbekannt
Dahme,1055010.0,Stand unbekannt
Damlos,1055011.0,Stand unbekannt
Göhl,1055014.0,Stand unbekannt
Gremersdorf,1055015.0,Stand unbekannt
Grömitz,1055016.0,Stand unbekannt
Großenbrode,1055017.0,Stand unbekannt
Grube,1055018.0,Stand unbekannt
Harmsdorf (Kreis Ostholstein),1055020.0,Stand unbekannt
Heringsdorf,1055022.0,Stand unbekannt
Kabelhorst,1055023.0,Stand unbekannt
Kasseedorf,1055024.0,Stand unbekannt
Kellenhusen (Ostsee),1055025.0,Stand unbekannt
Malente,1055028.0,Stand unbekannt
Manhagen,1055029.0,Stand unbekannt
Neukirchen (Kreis Ostholstein),1055031.0,Stand unbekannt
Riepsdorf,1055036.0,Stand unbekannt
Schashagen,1055037.0,Stand unbekannt
Schönwalde am Bungsberg,1055038.0,Stand unbekannt
Sierksdorf,1055039.0,Stand unbekannt
Süsel,1055041.0,Stand unbekannt
Wangels,1055043.0,Stand unbekannt
Fehmarn,1055046.0,Stand unbekannt
Bönningstedt,1056005.0,Stand unbekannt
Bokel (Kreis Pinneberg),1056006.0,Stand unbekannt
Borstel-Hohenraden,1056009.0,Stand unbekannt
Brande-Hörnerkirchen,1056010.0,Stand unbekannt
Ellerbek,1056013.0,Stand unbekannt
Helgoland,1056025.0,Stand unbekannt
Klein Nordende,1056029.0,Stand unbekannt
Klein Offenseth-Sparrieshoop,1056030.0,Stand unbekannt
Kummerfeld,1056032.0,Stand unbekannt
Seester,1056033.0,Stand unbekannt
Osterhorn,1056038.0,Stand unbekannt
Prisdorf,1056040.0,Stand unbekannt
Raa-Besenbek,1056042.0,Stand unbekannt
Seestermühe,1056045.0,Stand unbekannt
Seeth-Ekholt,1056046.0,Stand unbekannt
Tangstedt (Kreis Pinneberg),1056047.0,Stand unbekannt
Westerhorn,1056051.0,Stand unbekannt
Ascheberg (Holstein),1057001.0,Stand unbekannt
Barsbek,1057003.0,Stand unbekannt
Behrensdorf (Ostsee),1057004.0,Stand unbekannt
Belau,1057005.0,Stand unbekannt
Bendfeld,1057006.0,Stand unbekannt
Blekendorf,1057007.0,Stand unbekannt
Bönebüttel,1057008.0,Stand unbekannt
Bösdorf,1057009.0,Stand unbekannt
Brodersdorf,1057012.0,Stand unbekannt
Dannau,1057013.0,Stand unbekannt
Dersau,1057015.0,Stand unbekannt
Dobersdorf,1057016.0,Stand unbekannt
Dörnick,1057017.0,Stand unbekannt
Fahren,1057018.0,Stand unbekannt
Fiefbergen,1057020.0,Stand unbekannt
Giekau,1057021.0,Stand unbekannt
Großharrie,1057024.0,Stand unbekannt
Helmstorf,1057026.0,Stand unbekannt
Högsdorf,1057027.0,Stand unbekannt
Höhndorf,1057028.0,Stand unbekannt
Hohenfelde (Kreis Plön),1057029.0,Stand unbekannt
Hohwacht (Ostsee),1057030.0,Stand unbekannt
Kalübbe,1057032.0,Stand unbekannt
Kirchnüchel,1057034.0,Stand unbekannt
Klamp,1057035.0,Stand unbekannt
Kletkamp,1057038.0,Stand unbekannt
Köhn,1057039.0,Stand unbekannt
Krokau,1057040.0,Stand unbekannt
Krummbek,1057041.0,Stand unbekannt
Kühren,1057042.0,Stand unbekannt
Lammershagen,1057044.0,Stand unbekannt
Lebrade,1057045.0,Stand unbekannt
Lehmkuhlen,1057046.0,Stand unbekannt
Lütjenburg,1057048.0,Stand unbekannt
Lutterbek,1057049.0,Stand unbekannt
Martensrade,1057050.0,Stand unbekannt
Mucheln,1057052.0,Stand unbekannt
Nehmten,1057053.0,Stand unbekannt
Panker,1057055.0,Stand unbekannt
Passade,1057056.0,Stand unbekannt
Prasdorf,1057060.0,Stand unbekannt
Rantzau,1057065.0,Stand unbekannt
Rastorf,1057066.0,Stand unbekannt
Rathjensdorf,1057067.0,Stand unbekannt
Rendswühren,1057068.0,Stand unbekannt
Ruhwinkel,1057069.0,Stand unbekannt
Schellhorn,1057070.0,Stand unbekannt
Schillsdorf,1057071.0,Stand unbekannt
Schlesen,1057072.0,Stand unbekannt
Schönkirchen,1057074.0,Stand unbekannt
Schwartbuck,1057076.0,Stand unbekannt
Selent,1057077.0,Stand unbekannt
Stakendorf,1057078.0,Stand unbekannt
Stein (Probstei),1057079.0,Stand unbekannt
Stolpe,1057080.0,Stand unbekannt
Stoltenberg,1057081.0,Stand unbekannt
Tröndel,1057082.0,Stand unbekannt
Tasdorf,1057083.0,Stand unbekannt
Wahlstorf,1057084.0,Stand unbekannt
Wankendorf,1057085.0,Stand unbekannt
Wendtorf,1057087.0,Stand unbekannt
Wisch (Holstein),1057088.0,Stand unbekannt
Wittmoldt,1057089.0,Stand unbekannt
Fargau-Pratjau,1057090.0,Stand unbekannt
Altenhof,1058004.0,Stand unbekannt
Arpsdorf,1058007.0,Stand unbekannt
Bargstall,1058010.0,Stand unbekannt
Bargstedt (Holstein),1058011.0,Stand unbekannt
Barkelsby,1058012.0,Stand unbekannt
Beldorf,1058013.0,Stand unbekannt
Bendorf (Holstein),1058014.0,Stand unbekannt
Beringstedt,1058015.0,Stand unbekannt
Bissee,1058016.0,Stand unbekannt
Bokel (bei Rendsburg),1058021.0,Stand unbekannt
Bordesholm,1058022.0,Stand unbekannt
Borgdorf-Seedorf,1058023.0,Stand unbekannt
Bornholt,1058025.0,Stand unbekannt
Bovenau,1058026.0,Stand unbekannt
Brammer,1058027.0,Stand unbekannt
Breiholz,1058029.0,Stand unbekannt
Brinjahe,1058031.0,Stand unbekannt
Brodersby,1058032.0,Stand unbekannt
Brügge,1058033.0,Stand unbekannt
Christiansholm,1058036.0,Stand unbekannt
Dätgen,1058038.0,Stand unbekannt
Damp,1058040.0,Stand unbekannt
Dörphof,1058042.0,Stand unbekannt
Ehndorf,1058044.0,Stand unbekannt
Eisendorf,1058045.0,Stand unbekannt
Ellerdorf,1058046.0,Stand unbekannt
Elsdorf-Westermühlen,1058047.0,Stand unbekannt
Embühren,1058048.0,Stand unbekannt
Emkendorf,1058049.0,Stand unbekannt
Fleckeby,1058052.0,Stand unbekannt
Fockbek,1058054.0,Stand unbekannt
Friedrichsgraben,1058055.0,Stand unbekannt
Friedrichsholm,1058056.0,Stand unbekannt
Gammelby,1058057.0,Stand unbekannt
Gnutz,1058059.0,Stand unbekannt
Gokels,1058061.0,Stand unbekannt
Grauel,1058062.0,Stand unbekannt
Grevenkrug,1058063.0,Stand unbekannt
Groß Buchwald,1058064.0,Stand unbekannt
Groß Vollstedt,1058065.0,Stand unbekannt
Güby,1058067.0,Stand unbekannt
Haale,1058068.0,Stand unbekannt
Hamdorf,1058070.0,Stand unbekannt
Hamweddel,1058071.0,Stand unbekannt
Hanerau-Hademarschen,1058072.0,Stand unbekannt
Haßmoor,1058073.0,Stand unbekannt
Heinkenborstel,1058074.0,Stand unbekannt
Hörsten,1058075.0,Stand unbekannt
Hoffeld (Holstein),1058076.0,Stand unbekannt
Hohenwestedt,1058077.0,Stand unbekannt
Hohn,1058078.0,Stand unbekannt
Holzdorf,1058082.0,Stand unbekannt
Hummelfeld,1058084.0,Stand unbekannt
Jahrsdorf,1058085.0,Stand unbekannt
Jevenstedt,1058086.0,Stand unbekannt
Karby,1058087.0,Stand unbekannt
Königshügel,1058089.0,Stand unbekannt
Kosel,1058090.0,Stand unbekannt
Krogaspe,1058091.0,Stand unbekannt
Langwedel (Holstein),1058094.0,Stand unbekannt
Lohe-Föhrden,1058097.0,Stand unbekannt
Loop,1058098.0,Stand unbekannt
Loose,1058099.0,Stand unbekannt
Lütjenwestedt,1058100.0,Stand unbekannt
Luhnstedt,1058101.0,Stand unbekannt
Goosefeld,1058102.0,Stand unbekannt
Meezen,1058103.0,Stand unbekannt
Mörel,1058106.0,Stand unbekannt
Mühbrook,1058108.0,Stand unbekannt
Negenharrie,1058109.0,Stand unbekannt
Nienborstel,1058113.0,Stand unbekannt
Nindorf (bei Hohenwestedt),1058115.0,Stand unbekannt
Nübbel,1058118.0,Stand unbekannt
Oldenbüttel,1058119.0,Stand unbekannt
Oldenhütten,1058120.0,Stand unbekannt
Ostenfeld (Rendsburg),1058122.0,Stand unbekannt
Osterrönfeld,1058124.0,Stand unbekannt
Osterstedt,1058125.0,Stand unbekannt
Padenstedt,1058128.0,Stand unbekannt
Prinzenmoor,1058129.0,Stand unbekannt
Rade b.Hohenwestedt,1058131.0,Stand unbekannt
Rade b.Rendsburg,1058132.0,Stand unbekannt
Reesdorf,1058133.0,Stand unbekannt
Remmels,1058134.0,Stand unbekannt
Rieseby,1058137.0,Stand unbekannt
Schacht-Audorf,1058140.0,Stand unbekannt
Schmalstede,1058143.0,Stand unbekannt
Schönbek,1058144.0,Stand unbekannt
Schülldorf,1058146.0,Stand unbekannt
Schülp b.Nortorf,1058147.0,Stand unbekannt
Schülp b.Rendsburg,1058148.0,Stand unbekannt
Seefeld (Holstein),1058151.0,Stand unbekannt
Sören,1058153.0,Stand unbekannt
Sophienhamm,1058154.0,Stand unbekannt
Stafstedt,1058155.0,Stand unbekannt
Steenfeld,1058156.0,Stand unbekannt
Tackesdorf,1058158.0,Stand unbekannt
Tappendorf,1058159.0,Stand unbekannt
Thaden,1058161.0,Stand unbekannt
Thumby,1058162.0,Stand unbekannt
Timmaspe,1058163.0,Stand unbekannt
Todenbüttel,1058164.0,Stand unbekannt
Waabs,1058166.0,Stand unbekannt
Wapelfeld,1058167.0,Stand unbekannt
Warder,1058168.0,Stand unbekannt
Wasbek,1058169.0,Stand unbekannt
Wattenbek,1058170.0,Stand unbekannt
Westerrönfeld,1058172.0,Stand unbekannt
Windeby,1058173.0,Stand unbekannt
Winnemark,1058174.0,Stand unbekannt
Alt Bennebek,1059001.0,Stand unbekannt
Arnis,1059002.0,Stand unbekannt
Bergenhusen,1059005.0,Stand unbekannt
Böel,1059006.0,Stand unbekannt
Böklund,1059008.0,Stand unbekannt
Börm,1059009.0,Stand unbekannt
Bollingstedt,1059010.0,Stand unbekannt
Dörpstedt,1059020.0,Stand unbekannt
Ellingstedt,1059023.0,Stand unbekannt
Erfde,1059024.0,Stand unbekannt
Grödersby,1059034.0,Stand unbekannt
Groß Rheide,1059035.0,Stand unbekannt
Havetoft,1059037.0,Stand unbekannt
Hollingstedt (Kreis Schleswig-Flensburg),1059039.0,Stand unbekannt
Hüsby,1059041.0,Stand unbekannt
Idstedt,1059042.0,Stand unbekannt
Jübek,1059044.0,Stand unbekannt
Klappholz,1059049.0,Stand unbekannt
Klein Bennebek,1059050.0,Stand unbekannt
Klein Rheide,1059051.0,Stand unbekannt
Kropp,1059053.0,Stand unbekannt
Loit,1059055.0,Stand unbekannt
Lürschau,1059057.0,Stand unbekannt
Meggerdorf,1059058.0,Stand unbekannt
Mohrkirch,1059060.0,Stand unbekannt
Neuberend,1059062.0,Stand unbekannt
Norderbrarup,1059063.0,Stand unbekannt
Nottfeld,1059065.0,Stand unbekannt
Oersberg,1059067.0,Stand unbekannt
Rabenkirchen-Faulück,1059068.0,Stand unbekannt
Rügge,1059070.0,Stand unbekannt
Saustrup,1059072.0,Stand unbekannt
Schaalby,1059073.0,Stand unbekannt
Scheggerott,1059074.0,Stand unbekannt
Schnarup-Thumby,1059076.0,Stand unbekannt
Schuby,1059077.0,Stand unbekannt
Silberstedt,1059079.0,Stand unbekannt
Steinfeld (Schleswig),1059080.0,Stand unbekannt
Stolk,1059081.0,Stand unbekannt
Struxdorf,1059082.0,Stand unbekannt
Süderbrarup,1059083.0,Stand unbekannt
Süderfahrenstedt,1059084.0,Stand unbekannt
Taarstedt,1059086.0,Stand unbekannt
Tetenhusen,1059087.0,Stand unbekannt
Tielen,1059088.0,Stand unbekannt
Tolk,1059090.0,Stand unbekannt
Treia,1059092.0,Stand unbekannt
Uelsby,1059093.0,Stand unbekannt
Ulsnis,1059094.0,Stand unbekannt
Wagersrott,1059095.0,Stand unbekannt
Wohlde,1059096.0,Stand unbekannt
Twedt,1059097.0,Stand unbekannt
Nübel,1059098.0,Stand unbekannt
Ahneby,1059102.0,Stand unbekannt
Ausacker,1059103.0,Stand unbekannt
Böxlund,1059105.0,Stand unbekannt
Eggebek,1059107.0,Stand unbekannt
Esgrus,1059109.0,Stand unbekannt
Glücksburg (Ostsee),1059113.0,Stand unbekannt
Großsolt,1059116.0,Stand unbekannt
Hasselberg,1059121.0,Stand unbekannt
Hörup,1059123.0,Stand unbekannt
Holt,1059124.0,Stand unbekannt
Hürup,1059126.0,Stand unbekannt
Husby,1059127.0,Stand unbekannt
Janneby,1059128.0,Stand unbekannt
Jardelund,1059129.0,Stand unbekannt
Jerrishoe,1059131.0,Stand unbekannt
Jörl,1059132.0,Stand unbekannt
Kronsgaard,1059136.0,Stand unbekannt
Langstedt,1059138.0,Stand unbekannt
Maasholm,1059142.0,Stand unbekannt
Medelby,1059143.0,Stand unbekannt
Meyn,1059144.0,Stand unbekannt
Nieby,1059147.0,Stand unbekannt
Niesgrau,1059148.0,Stand unbekannt
Nordhackstedt,1059149.0,Stand unbekannt
Osterby (Kreis Schleswig-Flensburg),1059151.0,Stand unbekannt
Pommerby,1059152.0,Stand unbekannt
Rabel,1059154.0,Stand unbekannt
Rabenholz,1059155.0,Stand unbekannt
Schafflund,1059158.0,Stand unbekannt
Sieverstedt,1059159.0,Stand unbekannt
Sörup,1059161.0,Stand unbekannt
Sollerup,1059162.0,Stand unbekannt
Stangheck,1059163.0,Stand unbekannt
Steinberg,1059164.0,Stand unbekannt
Sterup,1059167.0,Stand unbekannt
Stoltebüll,1059168.0,Stand unbekannt
Süderhackstedt,1059169.0,Stand unbekannt
Wallsbüll,1059173.0,Stand unbekannt
Wanderup,1059174.0,Stand unbekannt
Weesby,1059177.0,Stand unbekannt
Lindewitt,1059179.0,Stand unbekannt
Freienwill,1059182.0,Stand unbekannt
Boren,1059187.0,Stand unbekannt
Stapel,1059188.0,Stand unbekannt
Brodersby-Goltoft,1059189.0,Stand unbekannt
Alveslohe,1060002.0,Stand unbekannt
Armstedt,1060003.0,Stand unbekannt
Bahrenhof,1060006.0,Stand unbekannt
Bark,1060007.0,Stand unbekannt
Bebensee,1060008.0,Stand unbekannt
Bimöhlen,1060009.0,Stand unbekannt
Blunk,1060010.0,Stand unbekannt
Borstel (Schleswig-Holstein),1060013.0,Stand unbekannt
Bühnsdorf,1060015.0,Stand unbekannt
Daldorf,1060016.0,Stand unbekannt
Dreggers,1060018.0,Stand unbekannt
Föhrden-Barl,1060021.0,Stand unbekannt
Fredesdorf,1060022.0,Stand unbekannt
Fuhlendorf,1060023.0,Stand unbekannt
Geschendorf,1060024.0,Stand unbekannt
Glasau,1060025.0,Stand unbekannt
Großenaspe,1060027.0,Stand unbekannt
Groß Kummerfeld,1060028.0,Stand unbekannt
Groß Niendorf,1060029.0,Stand unbekannt
Groß Rönnau,1060030.0,Stand unbekannt
Hagen (Holstein),1060031.0,Stand unbekannt
Hardebek,1060033.0,Stand unbekannt
Hartenholm,1060034.0,Stand unbekannt
Hasenkrug,1060035.0,Stand unbekannt
Hasenmoor,1060036.0,Stand unbekannt
Heidmoor,1060037.0,Stand unbekannt
Heidmühlen,1060038.0,Stand unbekannt
Henstedt-Ulzburg,1060039.0,Stand unbekannt
Hitzhusen,1060040.0,Stand unbekannt
Högersdorf,1060041.0,Stand unbekannt
Hüttblek,1060042.0,Stand unbekannt
Kattendorf,1060045.0,Stand unbekannt
Kisdorf,1060047.0,Stand unbekannt
Klein Gladebrügge,1060048.0,Stand unbekannt
Klein Rönnau,1060049.0,Stand unbekannt
Krems II,1060050.0,Stand unbekannt
Kükels,1060051.0,Stand unbekannt
Latendorf,1060052.0,Stand unbekannt
Leezen,1060053.0,Stand unbekannt
Mönkloh,1060056.0,Stand unbekannt
Mözen,1060057.0,Stand unbekannt
Negernbötel,1060059.0,Stand unbekannt
Nehms,1060060.0,Stand unbekannt
Neuengörs,1060061.0,Stand unbekannt
